person_id,type_kb,url
10,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/13574
10,Wikidata,https://www.wikidata.org/wiki/Q318580
10,VIAF,https://viaf.org/36947428
10,DataBnF,https://data.bnf.fr/12102483
13,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/21640
38,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/21547
47,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/18253
49,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/22346
74,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/19275
79,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/9199
89,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/18407
95,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/843
102,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/5712
152,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/15614
153,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/211
158,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/17734
159,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/10044
166,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/3787
167,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/15092
181,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/24616
188,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/15093
204,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/22937
205,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/22937
222,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/6663
223,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/15542
230,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/18138
246,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/25466
259,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/3187
263,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/24562
266,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/17717
270,Collecta,https://www.collecta.fr/p/COL-IMG-10014
270,Collecta,https://www.collecta.fr/p/COL-IMG-10204
270,Collecta,https://www.collecta.fr/p/COL-IMG-10286
270,Wikidata,https://www.wikidata.org/wiki/Q3525696
270,VIAF,https://viaf.org/9405324/
278,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/17496
296,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/5590
297,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/21573
317,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/16437
323,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/1690
342,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/11522
379,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/652
389,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/2518
391,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/24492
401,Collecta,https://www.collecta.fr/p/COL-IMG-09765
410,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/22072
419,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/3932
431,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/21892
435,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/870
446,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/19621
453,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/4271
465,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/853
485,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/1955
489,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/13400
511,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/18414
520,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/2826
553,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/17868
590,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/19457
596,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/564
610,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/8206
613,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/50412
619,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/21850
623,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/2135
638,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/2433
640,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/2414
641,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/25734
665,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/13619
670,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/17021
683,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/10958
695,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/23227
698,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/51052
704,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/9486
707,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/13513
709,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/12630
729,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/50362
734,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/16318
741,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/5607
751,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/13359
752,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/12093
756,Collecta,https://www.collecta.fr/p/COL-IMG-15326
776,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/16576
780,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/11344
788,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/4814
790,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/17365
806,Collecta,https://www.collecta.fr/p/COL-IMG-09858
806,Collecta,https://www.collecta.fr/p/COL-IMG-15327
816,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/19316
820,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/17025
824,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/21922
846,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/5993
849,Studium Parisiense,http://studium-parisiense.univ-paris1.fr/individus/5994
854,Collecta,https://www.collecta.fr/p/COL-IMG-12392
