term,term_fr,term_definition,term_position,_id_endp,topic
Abbas,Abbé,,,term_sts_1,Statut
Abbatissa,Abesse,,,term_sts_2,Statut
Actor,Plaignant,,,term_sts_3,Statut
Ancilla,Servante,,,term_sts_4,Statut
Apothecarius; Speciarius,Apothicaire,,,term_sts_5,Statut
Archerius,Archer,,,term_sts_6,Statut
Archiepiscopus,Archevêque,,,term_sts_7,Statut
Aurifaber,Orfèvre,,,term_sts_8,Statut
Avunculus,Oncle,,,term_sts_9,Statut
Baccalarius; Bacchalarius; Bacalarius,Bachelier,,,term_sts_10,Statut
Barbitonsor,Barbier,,,term_sts_11,Statut
Benefactor,Bienfaiteur,,,term_sts_12,Statut
Beneficiatus,Bénéficier,,,term_sts_13,Statut
Boulengarius; Panifex; Pistor,Boulanger,,,term_sts_14,Statut
Burgensis,Bourgeois,,,term_sts_15,Statut
Bursarius,Boursier,,,term_sts_16,Statut
Cambellanus,Chambellan,,,term_sts_17,Statut
Campsor,Changeur,,,term_sts_18,Statut
Cancellarius Francie,Chancelier de France,Chancelier du roi de France.,,term_sts_19,Statut
Candellaria,Vendeuse de chandelles,,,term_sts_20,Statut
Candellarius,Vendeur de chandelles,,,term_sts_21,Statut
Cardinalis,Cardinal,,,term_sts_22,Statut
Carnifex,Boucher,,,term_sts_23,Statut
Carpentarius; Carpentator,Charpentier,,,term_sts_24,Statut
Cirurgicus,Chirurgien,,,term_sts_25,Statut
Civis,Citoyen,,,term_sts_26,Statut
Coadjutor,Coadjuteur,,,term_sts_27,Statut
Comes,Comte,,,term_sts_28,Statut
Concubina,Concubine,,,term_sts_29,Statut
Confrater,Confrère,,,term_sts_30,Statut
Consanguineus,Consanguin,Qui appartient à une même famille.,,term_sts_31,Statut
Coopertor tegule,Couvreur de tuile,,,term_sts_32,Statut
Custurarius,Couturier,,,term_sts_33,Statut
Discipulus,Disciple,,,term_sts_34,Statut
Doctor,Docteur,Grade de diplôme le plus élevé.,,term_sts_35,Statut
Domicella,Demoiselle,,,term_sts_36,Statut
Domina,Dame,,,term_sts_37,Statut
Domesticus,Domestique,,,term_sts_38,Statut
Dominus,Seigneur,,,term_sts_39,Statut
Dux,Duc,,,term_sts_40,Statut
Elemosinarius,Aumônier,,,term_sts_41,Statut
Emptor,Acheteur,,,term_sts_42,Statut
Excommunicatus,Excommunié,,,term_sts_43,Statut
Extraneus,Etranger,,,term_sts_44,Statut
Faber,Forgeron,,,term_sts_45,Statut
Familiaris,Familier,,,term_sts_46,Statut
Famulus,Serviteur,,,term_sts_47,Statut
Ferperius,Fripier,,,term_sts_48,Statut
Fideijussor,Garant,,,term_sts_49,Statut
Filia,Fille,,,term_sts_50,Statut
Filius,Fils,,,term_sts_51,Statut
Firmarius,Fermier,,,term_sts_52,Statut
Frater,Frère,,,term_sts_53,Statut
Fundator,Fondateur,,,term_sts_54,Statut
Fur; Raptor,Voleur,,,term_sts_55,Statut
Greffarius,Greffier,,,term_sts_56,Statut
Gubernator,Gouverneur,,,term_sts_57,Statut
Habitans,Habitant,,,term_sts_58,Statut
Heres,Héritier,,,term_sts_59,Statut
Homo; Vir,Homme,,,term_sts_60,Statut
Hospes,Hôte,Résident officiel du chapitre; tenancier libre muni d'une tenure à cens modeste.,,term_sts_61,Statut
Hostiarius parlamenti,Huissier du Parlement,,,term_sts_62,Statut
Hostiarius requestarum,Huissier des Requêtes,,,term_sts_63,Statut
Infirmus,Malade,,,term_sts_64,Statut
Inquisitor,Inquisiteur,,,term_sts_65,Statut
Judeus,Juif,,,term_sts_66,Statut
Judex,Juge,,,term_sts_67,Statut
Juratus,Juré,"Voir boulengarius, cirurgicus, coopertor tegule, faber, fossator, librarius, lathomus, mensurator, notarius, panifex, pistor, serrurarius,.",,term_sts_68,Statut
Jurisperitus,Juriste,,,term_sts_69,Statut
Lathomus,Maçon,,,term_sts_70,Statut
Lator,Porteur,Porteur de message.,,term_sts_71,Statut
Legatus,Légat,,,term_sts_72,Statut
Librarius,Libraire,,,term_sts_73,Statut
Magister,Maître,Maître es arts appartenant à la communauté des maîtres et écoliers et bénéficiant pleinement de ses droits.,,term_sts_74,Statut
Magister operarum,Maître des œuvres,,,term_sts_75,Statut
Major,Maire,,,term_sts_76,Statut
Mango,Vagabond,,,term_sts_77,Statut
Maritus,Mari,,,term_sts_78,Statut
Mater,Mère,,,term_sts_79,Statut
Medicus,Médecin,,,term_sts_80,Statut
Mensurarius,Mesureur,,,term_sts_81,Statut
Mensurator granorum,Mesureur des grains,,,term_sts_82,Statut
Mercator,Marchand,,,term_sts_83,Statut
Miles,Chevalier,,,term_sts_84,Statut
Molendinarius,Meunier,,,term_sts_85,Statut
Monialis,Moniale,,,term_sts_86,Statut
Monacus,Moine,,,term_sts_87,Statut
Mulier,Femme,,,term_sts_88,Statut
Nepos,Neveu,,,term_sts_89,Statut
Neptis,Nièce,,,term_sts_90,Statut
Nuncius,Envoyé,,,term_sts_91,Statut
Papa,Pape,,,term_sts_92,Statut
Parrochianus,Paroissien,,,term_sts_93,Statut
Pater,Père,,,term_sts_94,Statut
Patriarcha,Patriarche,,,term_sts_95,Statut
Pauper,Pauvre,,,term_sts_96,Statut
Pedeseca,Servante,,,term_sts_97,Statut
Pelliparius,Pelletier,,,term_sts_98,Statut
Pensionarius,Censitaire,,,term_sts_99,Statut
Peregrinus,Pèlerin,,,term_sts_100,Statut
Persona,Personne,,,term_sts_101,Statut
Persona privata,Personne privée,,,term_sts_102,Statut
Personatus,Personat,,,term_sts_103,Statut
Possessor,Propriétaire,,,term_sts_104,Statut
Prebendarius,Prébendier,Titulaire d'une prébende.,,term_sts_105,Statut
Prelatus,Prelat,,,term_sts_106,Statut
Presidens,Président,,,term_sts_107,Statut
Princeps,Prince,,,term_sts_108,Statut
Prior,Prieur,,,term_sts_109,Statut
Priorissa,Prieure,,,term_sts_110,Statut
Prisioniarius,Prisonnier,,,term_sts_111,Statut
Professor,Professeur,,,term_sts_112,Statut
Proprietarius,Propriétaire,,,term_sts_113,Statut
Puer,Enfant,,,term_sts_114,Statut
Questor,Quêteur,,,term_sts_115,Statut
Regina,Reine,,,term_sts_116,Statut
Religiosa,Religieuse,,,term_sts_117,Statut
Reus,Prévenu,,,term_sts_118,Statut
Religiosus,Religieux,,,term_sts_119,Statut
Rex,Roi,,,term_sts_120,Statut
Scolaris,Ecolier,,,term_sts_121,Statut
Scutiffer; Armiger,Ecuyer,,,term_sts_122,Statut
Serrurarius,Serrurier,,,term_sts_123,Statut
Serviens,Sergent,Équivalent de cliens.,,term_sts_124,Statut
Servitor,Serviteur,,,term_sts_125,Statut
Soror,Sœur,,,term_sts_126,Statut
Subditus,Sujet,,,term_sts_127,Statut
Subelemosinarius,Sous-aumônier,,,term_sts_128,Statut
Subexcecutor,Sous-exécuteur,,,term_sts_129,Statut
Successor,Successeur,,,term_sts_130,Statut
Tonnellarius,Tonnelier,,,term_sts_131,Statut
Tortor,Bourreau,,,term_sts_132,Statut
Uxor,Femme,,,term_sts_133,Statut
Vassalus,Vassal,,,term_sts_134,Statut
Venditor,Vendeur,,,term_sts_135,Statut
Vicarius,Vicaire,,,term_sts_136,Statut
Vicecomes,Vicomte,,,term_sts_137,Statut
Vicedominus,Vidame,,,term_sts_138,Statut
Vidua; Relicta,Veuve,,,term_sts_139,Statut
Viduus; Relictus,Veuf,,,term_sts_140,Statut
Vitrarius,Vitrier,,,term_sts_141,Statut
Canonicus Parisiensis,Chanoine de Paris,Chanoine de notre-dame de paris.,C_1,term_sts_142,Statut
Canonicus Sancti Aniani,Chanoine de Saint-Aignan,Chanoine de l'église saint-aignan.,C_2,term_sts_143,Statut
Canonicus Sancti Dionisii de Passu,Chanoine de Saint-Denis-du-Pas,Chanoine de l'église saint-denis-du-pas.,C_3,term_sts_144,Statut
Canonicus Sancti Johannis Rotundi,Chanoine de Saint-Jean-le-Rond,Chanoine de l'église saint-jean-le-rond.,C_4,term_sts_145,Statut
Canonicus Sancti Mederici,Chanoine de Saint-Merri,Chanoine de l'église saint-merri.,C_5,term_sts_146,Statut
Canonicus Sancti Sepulcri,Chanoine du Saint-Sépulcre,Chanoine de l'église du saint-sépulcre.,C_6,term_sts_147,Statut
Canonicus Sancti Benedecti Beneversi,Chanoine de Saint-Benoît-le-Betourné,Chanoine de l'église de saint-benoît-le-bétourné.,C_7,term_sts_148,Statut
Canonicus Sancti Stephani de Gressibus,Chanoine de Saint-Etienne-des-Grès,Chanoine de l'église saint-etienne-des-grès.,C_8,term_sts_149,Statut
Canonicus Sancte Opportune,Chanoine de Sainte-Opportune,Chanoine de l'église sainte-opportune.,C_9,term_sts_150,Statut
Canonicus Sancti Germani Autissiodorensis,Chanoine de Saint-Germain-l'Auxerrois,Chaoine de l'église saint-germain-l'auxerrois.,C_10,term_sts_151,Statut
Canonicus Sancti Martini de Campis,Chanoine de Saint-Martin des Champs,Chanoine de l'abbaye saint-martin-des-champs.,C_11,term_sts_152,Statut
Canonicus Sancti Mathurini,Chanoine de Saint-Maturin,Chanoine de l'église saint-mathurin.,C_12,term_sts_153,Statut
Canonicus Sancti Marcelli,Chanoine de Saint-Marcel,Chanoine de l'église saint-marcel.,C_13,term_sts_154,Statut
Canonicus Sancti Honorati,Chanoine de Saint-Honoré,Chaoine de l'église saint-honoré.,C_14,term_sts_155,Statut
Decanus,Doyen,Premier dignitaire; bénéficie d'une double prébende.,DG_1,term_dgn_1,Dignité
Cantor,Second dignitaire du chapitre - double prébende,Deuxième dignitaire; bénéficie d'une double prébende.,DG_2,term_dgn_2,Dignité
Archidiaconus Parisiensis seu major,Archidiacre de Paris ou Grand archidiacre,Administre l'archidiaconé de Paris.,DG_3,term_dgn_3,Dignité
Archidiaconus Ecclesie seu de Josayo,Archidiacre de l'Eglise ou de Josas,Administre l'archidiaconé de Josas.,DG_4,term_dgn_4,Dignité
Archidiaconus Brie,Archidiacre de Brie,Administre l'archidiaconé de Brie.,DG_5,term_dgn_5,Dignité
Succentor,Sous-chantre,Responsable de fait de la liturgie chantée au chœur.,DG_6,term_dgn_6,Dignité
Cancellarius,Chancelier,Gardien du sceau;  délivre la licencia docendi en tant que chancelier de l’université.,DG_7,term_dgn_7,Dignité
Penitenciarius,Pénitencier,Auxiliaire et confesseur de l'évêque.,DG_8,term_dgn_8,Dignité
Clericus,Clerc,,OS_1,term_ors_1,Ordre sacré
Acolytus,Acolyte,,OS_2,term_ors_2,Ordre sacré
Subdiaconus,Sous-diacre,,OS_3,term_ors_3,Ordre sacré
Diaconus,Diacre,,OS_4,term_ors_4,Ordre sacré
Presbyter ; Sacerdos,Prêtre,,OS_5,term_ors_5,Ordre sacré
Episcopus,Evêque,,OS_6,term_ors_6,Ordre sacré
Non constitutus in sacris ordinibus,Non constitué dans les ordres ecclésiastiques,,OS_0,term_ors_7,Ordre sacré
Administrator,Administrateur,,,term_ceo_1,Charge et office
Advocatus,Avocat,Défenseur des droits d'une église devant une cour.,,term_ceo_2,Charge et office
