id,term,term_fr,term_definition,term_position,_id_endp,topic
1,Barra; Auditoire,Barre du chapitre; Auditoire,,,place_cloitre_1,Cloître
2,Biblioteca,Bibliothèque,Bibliothèque des livres du chapitre,,place_cloitre_2,Cloître
3,Camera compotorum,Chambre des comptes,Chambre des comptes du chapitre dans le bâtiment capitulaire,,place_cloitre_3,Cloître
4,Capella,Chapelle,,,place_cloitre_4,Cloître
5,Capicium,Chevet,,,place_cloitre_5,Cloître
6,Chorus,Chœur,,,place_cloitre_6,Cloître
7,Claustrum Sancti Dyonisii de Passu,Cloître de Saint-Denis-du-Pas,Petit cloître,,place_cloitre_7,Cloître
8,Coquina Sancti Augustini,Cuisine de Saint-Augustin,Cuisine qui comprend au 15e siècle un moulin et un four à pain,,place_cloitre_8,Cloître
9,Cuva,Cuve,Cuve baptismale et mesure à grains dans la nef de la cathédrale,,place_cloitre_9,Cloître
10,Domus claustralis,Maison claustrale,"Maison dont la propriété est réservée aux chanoines ou, par exception du chapitre, à des laïcs",,place_cloitre_10,Cloître
11,Domus episcopalis,Hôtel épiscopal,Palais de l'évêque,,place_cloitre_11,Cloître
12,Fabrica,Fabrique,,,place_cloitre_12,Cloître
13,Geola,Prison,,,place_cloitre_13,Cloître
14,Jube,Jubé,,,place_cloitre_14,Cloître
15,Latrine,Latrines,,,place_cloitre_15,Cloître
16,Navis,Nef,,,place_cloitre_16,Cloître
17,Parvisium,Parvis,,,place_cloitre_17,Cloître
18,Parvum portale ecclesie a parte claustri,Petit portail de l'église,Portail de la Vierge ?,,place_cloitre_18,Cloître
19,Porta capituli,Porte du chapitre,"Porte d'entrée principale de la salle capitulaire, donnant sur le petit cloître",,place_cloitre_19,Cloître
20,Porta claustri ad batellos,Porte du cloître 'aux bateaux',,,place_cloitre_20,Cloître
21,Porta dextre partis,Porte de la partie droite,Portail Sainte-Anne,,place_cloitre_21,Cloître
22,Porta prope Sanctum Johannem Rotundi,Porte près de Saint-Jean-le-Rond,Porte principale d'entrée au cloître,,place_cloitre_22,Cloître
23,Porta Sancti Landerici,Porte Saint-Landry,,,place_cloitre_23,Cloître
24,Porta terralis,Porte du terrail,,,place_cloitre_24,Cloître
25,Porta vici Marmorsetorum,Porte de la rue des Marmousets,,,place_cloitre_25,Cloître
26,Portale versus domum episcopi,Portail vers l'hôtel de l'évêque,"Portail sud de l'église cathédrale, ou porte Saint-Etienne",,place_cloitre_26,Cloître
27,Portus Episcopi,Port l'Evêque,,,place_cloitre_27,Cloître
28,Portus Nostre Domine,Port Notre-Dame,,,place_cloitre_28,Cloître
29,Portus Sancti Landerici,Port Saint-Landry,,,place_cloitre_29,Cloître
30,Pulpitum,Chaire,,,place_cloitre_30,Cloître
31,Puteus claustri,Puits du cloître,,,place_cloitre_31,Cloître
32,Revestiarius,Sacristie,,,place_cloitre_32,Cloître
33,Sanctus Anianus,Saint-Aignan,,,place_cloitre_33,Cloître
34,Sanctus Christoforus,Saint-Christophe,,,place_cloitre_34,Cloître
35,Sanctus Dyonisius de Passu,Saint-Denis-du-Pas,,,place_cloitre_35,Cloître
36,Sanctus Johannis Rotundi,Saint-Jean-le-Rond,,,place_cloitre_36,Cloître
37,Terrale,Terrail,Promontoire de l'extrêmité orientale de l'île de la Cité,,place_cloitre_37,Cloître
38,Thesaurum,Trésor,,,place_cloitre_38,Cloître
39,Turris Guillaume; Magna turris,Tour Guillaume; Grande tour,,,place_cloitre_39,Cloître
40,Turris Jacqueline,Tour Jacqueline,,,place_cloitre_40,Cloître
41,Valve majores ecclesie,Grandes portes de l'église,Portail du Jugement,,place_cloitre_41,Cloître
42,Ymagina Nostre Domine,Statue de Notre-Dame,,,place_cloitre_42,Cloître
43,Ymagina Sancti Christofori,Statue de saint Christophe,,,place_cloitre_43,Cloître
44,Prepositus apud Andresiacum,Prévôt à Andrésy,,P_1,place_prevote_1,Prévôté
45,Prepositus apud Balneolum,Prévôt à Bagneux,,P_2,place_prevote_2,Prévôté
46,Prepositus apud Castanetum,Prévôt à Châtenay,,P_3,place_prevote_3,Prévôté
47,Prepositus apud Chivilliacum,Prévôt à Chevilly,,P_4,place_prevote_4,Prévôté
48,Prepositus apud Corberosam,Prévôt à Corbreuse,,P_5,place_prevote_5,Prévôté
49,Prepositus apud Cristolium,Prévôt à Créteil,,P_6,place_prevote_6,Prévôté
50,Prepositus apud Laiacum,Prévôt à L'Haÿ,,P_7,place_prevote_7,Prévôté
51,Prepositus apud Liricantum,Prévôt à Larchant,,P_8,place_prevote_8,Prévôté
52,Prepositus apud Mitriacum,Prévôt à Mitry,,P_9,place_prevote_9,Prévôté
53,Prepositus apud Moriacum,Prévôt à Mory,,P_10,place_prevote_10,Prévôté
54,Prepositus apud Orliacum,Prévôt à Orly,,P_11,place_prevote_11,Prévôté
55,Prepositus apud Rosayum,Prévôt à Rozay,Prévôt à Rozay-en-Brie,P_12,place_prevote_12,Prévôté
56,Prepositus apud Spedonam,Prévôt à Epône,,P_13,place_prevote_13,Prévôté
57,Prepositus apud Sucyacum,Prévôt à Sucy,Prévôt à Sucy-en-Brie,P_14,place_prevote_14,Prévôté
58,Prepositus apud Vernotum,Prévôt à Vernou,,P_15,place_prevote_15,Prévôté
59,Prepositus apud Viriacum,Prévôt à Viry,Prévôt à Viry-en-Vermandois,P_16,place_prevote_16,Prévôté
60,Prepositus apud Ytevillam,Prévôt à Iteville,,P_17,place_prevote_17,Prévôté
61,Aelonium,Mons-Ablon,,,place_domaine_1,Domaine
62,Andresiacum,Andrésy ; Andresi,,,place_domaine_2,Domaine
63,Andresellum,Andrezel,,,place_domaine_3,Domaine
64,Aubergenvilla,Aubergenville,,,place_domaine_4,Domaine
65,Aurenvilla,Avrainville,,,place_domaine_5,Domaine
66,Balneolis,Bagneux ; Baigneux,,,place_domaine_6,Domaine
67,Bello Monte,Beaumont-sur-Oise ; Biaumont,,,place_domaine_7,Domaine
68,Buxiacum,Boissy-Saint-Léger,,,place_domaine_8,Domaine
69,Bonolium,Bonneuil,,,place_domaine_9,Domaine
70,Bretigniacum,Brétigny,,,place_domaine_10,Domaine
71,Campelli,Champeaux,,,place_domaine_11,Domaine
